threshold,feature,children_left,children_right,value
-2.0,-2,-1,-1,1.6374269005847952
-2.0,-2,-1,-1,1.3742690058479532
82.5,1,59,68,1.8362573099415205
96.0999984741211,0,60,67,2.0
53.5,1,61,62,2.0
-2.0,-2,-1,-1,0.2573099415204678
1.9462173581123352,6,63,66,2.0
4.226999998092651,2,64,65,2.076023391812866
-2.0,-2,-1,-1,2.2339181286549707
-2.0,-2,-1,-1,2.0116959064327484
-2.0,-2,-1,-1,1.894736842105263
-2.0,-2,-1,-1,3.4853801169590644
24.91255474090576,5,69,74,1.7543859649122806
24.15157985687256,5,70,73,1.871345029239766
0.41533999145030975,5,71,72,1.7777777777777777
-2.0,-2,-1,-1,0.9766081871345029
-2.0,-2,-1,-1,1.7777777777777777
-2.0,-2,-1,-1,2.064327485380117
87.70000076293945,0,75,76,1.654970760233918
-2.0,-2,-1,-1,1.7426900584795322
-2.0,-2,-1,-1,1.5087719298245614
87.39999771118164,0,78,85,1.5087719298245614
125.5,4,79,80,1.5555555555555556
-2.0,-2,-1,-1,1.2748538011695907
8.468000411987305,2,81,84,1.590643274853801
1.0927284359931946,6,82,83,1.543859649122807
-2.0,-2,-1,-1,1.2690058479532165
-2.0,-2,-1,-1,1.5555555555555556
-2.0,-2,-1,-1,1.6842105263157894
9.456500053405762,2,86,89,1.3099415204678362
1.1578096747398376,6,87,88,1.3216374269005848
-2.0,-2,-1,-1,1.4853801169590644
-2.0,-2,-1,-1,1.2748538011695907
-2.0,-2,-1,-1,0.0
84.5,1,91,204,1.976608187134503
51.56657028198242,5,92,113,2.08187134502924
-1.0022787153720856,3,93,96,1.9415204678362572
45.493064880371094,5,94,95,1.3567251461988303
-2.0,-2,-1,-1,2.0
-2.0,-2,-1,-1,1.2573099415204678
0.05218527466058731,6,97,98,1.9649122807017543
-2.0,-2,-1,-1,4.56140350877193
51.41390419006348,5,99,110,1.95906432748538
3.601348042488098,3,100,109,1.976608187134503
42.75065612792969,5,101,102,1.9532163742690059
-2.0,-2,-1,-1,2.0350877192982457
1.7695695757865906,3,103,106,1.9415204678362572
5.733500003814697,2,104,105,1.9883040935672514
-2.0,-2,-1,-1,4.4795321637426895
-2.0,-2,-1,-1,1.9883040935672514
46.6965446472168,5,107,108,1.8830409356725146
-2.0,-2,-1,-1,1.912280701754386
-2.0,-2,-1,-1,1.2046783625730995
-2.0,-2,-1,-1,2.3157894736842106
2.06548273563385,6,111,112,1.1578947368421053
-2.0,-2,-1,-1,1.409356725146199
-2.0,-2,-1,-1,0.0
3.9049999713897705,2,114,125,2.198830409356725
58.495174407958984,5,115,122,2.853801169590643
2.2888428270816803,6,116,119,3.2865497076023393
47.5,1,117,118,3.7134502923976607
-2.0,-2,-1,-1,2.4327485380116958
-2.0,-2,-1,-1,3.8128654970760234
53.57981491088867,5,120,121,3.0994152046783627
-2.0,-2,-1,-1,2.1637426900584797
-2.0,-2,-1,-1,3.1345029239766085
100.14324951171875,5,123,124,2.6608187134502925
-2.0,-2,-1,-1,2.6666666666666665
-2.0,-2,-1,-1,0.0
-4.0915586948394775,3,126,135,2.175438596491228
71.57314872741699,5,127,132,1.4152046783625731
-4.334704637527466,3,128,131,1.9415204678362572
-8.045689344406128,3,129,130,2.023391812865497
-2.0,-2,-1,-1,2.4444444444444446
-2.0,-2,-1,-1,1.9064327485380117
-2.0,-2,-1,-1,0.0
8.82200002670288,2,133,134,0.9649122807017543
-2.0,-2,-1,-1,1.391812865497076
-2.0,-2,-1,-1,0.07017543859649122
109.26069259643555,5,136,199,2.192982456140351
77.5,1,137,180,2.2339181286549707
85.54010772705078,5,138,165,2.473684210526316
272.3000030517578,0,139,164,2.6198830409356724
67.5,1,140,149,2.6374269005847957
5.607500076293945,2,141,142,3.1754385964912277
-2.0,-2,-1,-1,2.7953216374269005
-1.477114200592041,3,143,144,3.8596491228070176
-2.0,-2,-1,-1,1.8654970760233918
-0.620302826166153,3,145,146,3.9064327485380117
-2.0,-2,-1,-1,4.573099415204679
74.25558471679688,5,147,148,3.7894736842105265
-2.0,-2,-1,-1,3.8128654970760234
-2.0,-2,-1,-1,0.7485380116959064
4.17549467086792,6,150,161,2.538011695906433
10.571500301361084,2,151,158,2.5146198830409356
128.5,4,152,157,2.573099415204678
9.843999862670898,2,153,154,2.7894736842105265
